00:19:12.857 --- [Thread-10] INFO  o.s.s.c.ThreadPoolTaskExecutor - [shutdown,218] - Shutting down ExecutorService 'applicationTaskExecutor'
00:50:14.659 --- [restartedMain] INFO  c.gzw.RitApplication - [logStarted,61] - Started RitApplication in 1.37 seconds (JVM running for 5509.621)
00:50:14.663 --- [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - [onApplicationEvent,63] - Condition evaluation unchanged
00:55:28.653 --- [Thread-27] INFO  o.s.s.c.ThreadPoolTaskExecutor - [shutdown,218] - Shutting down ExecutorService 'applicationTaskExecutor'
00:55:28.655 --- [Thread-27] INFO  c.a.d.p.DruidDataSource - [close,1948] - {dataSource-0} closing ...
00:55:28.998 --- [restartedMain] INFO  c.gzw.RitApplication - [logStarting,55] - Starting RitApplication on LAPTOP-MKA6NPBB with PID 8860 (D:\AB-Pool-EN-Code-NA\AA-Area-EN-Java-NA\AB-Multi-EN-MyProject-YA\ResourceIntegrationTemplate\target\classes started by 16271 in D:\AB-Pool-EN-Code-NA\AA-Area-EN-Java-NA\AB-Multi-EN-MyProject-YA\ResourceIntegrationTemplate)
00:55:28.998 --- [restartedMain] INFO  c.gzw.RitApplication - [logStartupProfileInfo,655] - The following profiles are active: dev
00:55:29.647 --- [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - [postProcessAfterInitialization,335] - Bean 'shiroConfig' of type [com.gzw.rit.config.shiro.ShiroConfig$$EnhancerBySpringCGLIB$$b3a84e4c] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
00:55:29.665 --- [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - [postProcessAfterInitialization,335] - Bean 'mybatis-plus-com.baomidou.mybatisplus.autoconfigure.MybatisPlusProperties' of type [com.baomidou.mybatisplus.autoconfigure.MybatisPlusProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
00:55:29.675 --- [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - [postProcessAfterInitialization,335] - Bean 'com.baomidou.mybatisplus.autoconfigure.MybatisPlusAutoConfiguration' of type [com.baomidou.mybatisplus.autoconfigure.MybatisPlusAutoConfiguration$$EnhancerBySpringCGLIB$$d07ba0af] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
00:55:29.678 --- [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - [postProcessAfterInitialization,335] - Bean 'druidConfig' of type [com.gzw.rit.config.druid.DruidConfig$$EnhancerBySpringCGLIB$$2afefc6e] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
00:55:29.724 --- [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - [postProcessAfterInitialization,335] - Bean 'druid' of type [com.alibaba.druid.pool.DruidDataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
